Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
"Samsung Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Black",4.5,2250.0,Cell Phones & Accessories,Cell Phones,Samsung,1119.0,-0.21,Amazon.com,https://m.media-amazon.com/images/I/61n0lmxP5-L._AC_SX679_.jpg
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Blue Black",4.2,1761.0,Cell Phones & Accessories,Cell Phones,Samsung,199.0,,Amazon.com,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_SX679_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, AMOLED Bright Display, US Version, 2024, US 1 Yr Warranty, Graphite",4.5,1370.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.0,,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
Motorola Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,4.2,2953.0,Cell Phones & Accessories,Cell Phones,Motorola,139.0,-0.3,Amazon.com,https://m.media-amazon.com/images/I/61TTdTnaEeL._AC_SX679_.jpg
"Tracfone Moto G Play (2023) [Activation Promotion], 32GB, Blue, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan - Prepaid Smartphone",4.3,1244.0,Cell Phones & Accessories,Cell Phones,TracFone,49.0,,Amazon.com,
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,4.5,963.0,Cell Phones & Accessories,Cell Phones,Motorola,249.0,-0.38,Amazon.com,https://m.media-amazon.com/images/I/61LE9-6KxdL.__AC_SX300_SY300_QL70_FMwebp_.jpg
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",3.7,5223.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,99.0,,,https://m.media-amazon.com/images/I/61U6oC65TTL._AC_SX679_.jpg
"OnePlus 13R, 12GB RAM + 256GB Storage, Dual-SIM, Unlocked Android Smartphone, Powered by Snapdragon 8 Gen 3, 55W SUPERVOOC Fast Charging, 2025, Nebula Noir",4.6,136.0,Cell Phones & Accessories,Cell Phones,OnePlus,849.0,,,https://m.media-amazon.com/images/I/71lmumt9z8L._AC_SX679_.jpg
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)",4.0,31646.0,Cell Phones & Accessories,Cell Phones,Apple,212.0,,,
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",3.9,1354.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,130.0,,Amazon,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_SX679_.jpg
"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",4.1,2930.0,Cell Phones & Accessories,Cell Phones,Apple,79.0,,,
Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),4.2,1786.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,239.0,,,https://m.media-amazon.com/images/I/61R5xNY4ZWL._AC_SX569_.jpg
"Samsung Galaxy Z Fold7 Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Photo Edits, Large Screen, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Silver Shadow",4.4,105.0,Cell Phones & Accessories,Cell Phones,Samsung,1819.0,-0.14,Amazon.com,https://m.media-amazon.com/images/I/71Q2nfOzmmL._AC_SX679_.jpg
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",4.0,13226.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,138.0,,,https://m.media-amazon.com/images/I/61XyNdmvr6L.__AC_SX300_SY300_QL70_FMwebp_.jpg
"TracFone Motorola Moto g 5G (2024) [Activation Promotion] Locked Prepaid Smartphone, 128GB, Gray - Includes $20 Unlimited Talk, Text, & 4GB Data 30-Day Plan",4.3,99.0,Cell Phones & Accessories,Cell Phones,TracFone,49.0,,Amazon.com,
"Apple iPhone 13, 128GB, Blue - Unlocked (Renewed)",4.0,18205.0,Cell Phones & Accessories,Cell Phones,Apple,149.0,,,
"8849 Tank 2 Pro Rugged Smartphone Unlocked, 24+512GB/1TB Android 14 Rugged Cell Phone with Projector, 6.79’’ 4G Waterproof Mobile Phones 23800mAh, Fingerprint/Dual Sim/OTG/GPS/Face ID",4.2,70.0,Cell Phones & Accessories,Cell Phones,8849,449.0,,Amazon,https://m.media-amazon.com/images/I/71BOkn2sodL._AC_SX569_.jpg
"OUKITEL G3 Rugged Smartphone Unlocked -16GB+128GB/1TB TF 6” HD Display IP68/IP69K Rugged Cell Phones, 6300mAh Battery 13MP Rear Camera Waterproof Android Phone, GPS/3.5mm Jack/4G Dual Sim/Face ID",4.6,37.0,Cell Phones & Accessories,Cell Phones,OUKITEL,169.0,,Amazon,https://m.media-amazon.com/images/I/81RuzvJtvYL._AC_SX679_.jpg
"SAMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",4.2,283.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,172.0,,Amazon,
"CMF Phone 1 8+128GB - Unlocked Smartphone with 50 MP Rear Camera with Ultra XDR, 6,67"" Super AMOLED Display and Nothing OS 2.6 - Light Green",4.5,533.0,Cell Phones & Accessories,Cell Phones,CMF BY NOTHING,199.0,-0.23,Amazon,https://m.media-amazon.com/images/I/71Pc3Cb9HjL._AC_SX679_.jpg
Samsung Electronics Galaxy Note 20 5G Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Gray (Renewed),4.0,2425.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,25.0,,,
"SAMSUNG Galaxy S25 Ultra SM-S938B/DS 256GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model - Titanium Black",4.0,34.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,979.0,,Amazon,https://m.media-amazon.com/images/I/21Na3naSCdL._AC_.jpg
"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",4.0,1386.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,94.0,-0.06,,https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_SX679_.jpg
"TCL 60 XE NXTPAPER 5G Cell Phone, 128GB Unlocked Android Smartphone, 6.8"" 120Hz Paper-Like Display, AI Features, 5010mAh Battery, 8GB RAM + 8GB Expansion, Advanced Camera System, Space Blue",4.2,130.0,Cell Phones & Accessories,Cell Phones,TCL,212.0,-0.15,Amazon,
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,4.3,493.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,107.0,,Amazon,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_SX679_.jpg
"SAMSUNG Galaxy A16 5G (SM-A166M/DS), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",4.2,318.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,204.0,,Amazon,https://m.media-amazon.com/images/I/61lLuNuti0L._AC_SX679_.jpg
Nokia G10 | Android 13 | Unlocked GSM Smartphone | 3-Day Battery | 3GB RAM | 64GB Storage | 6.52-Inch Screen | 13MP Triple Camera | Dusk | Not Compatible with Verizon or AT&T,3.4,117.0,Cell Phones & Accessories,Cell Phones,Nokia,69.0,,Amazon.com,https://m.media-amazon.com/images/I/81Io90tyv1L._AC_SX679_.jpg
"Samsung Galaxy A20 32GB 6.4"" Display A205U Black Unlocked Smartphone (Renewed)",3.7,863.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,94.0,,,https://m.media-amazon.com/images/I/71-t9PoTerL._AC_SX679_.jpg
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Silver,4.4,271.0,Cell Phones & Accessories,Cell Phones,Samsung,107.0,,Amazon,https://m.media-amazon.com/images/I/717LoicbArL._AC_SX522_.jpg
Motorola Edge | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Midnight Blue,4.2,388.0,Cell Phones & Accessories,Cell Phones,Motorola,299.0,-0.45,Amazon.com,https://m.media-amazon.com/images/I/61xrE9hme2L._AC_SX679_.jpg
"Samsung Galaxy A13 5G Cell Phone, AT&T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",3.9,1851.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,90.0,,,
"Google Pixel 7 5G, US Version, 128GB, Obsidian - Unlocked (Renewed)",4.0,1634.0,Cell Phones & Accessories,Cell Phones,Google,49.0,,,https://m.media-amazon.com/images/I/61GaroZ9M6L._AC_SX679_.jpg
