Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Image
Samsung Electronics Galaxy Note 20 5G Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Gray (Renewed),4.0,2425.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,259.0,,https://m.media-amazon.com/images/I/61xqvfPmUnL._AC_SX466_.jpg
"SAMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",4.2,289.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,174.0,,https://m.media-amazon.com/images/I/51u7UXKB8+L._AC_SX679_.jpg
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,4.3,494.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,107.0,,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_SX679_.jpg
"Samsung Galaxy Z Fold7 Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Photo Edits, Large Screen, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Silver Shadow",4.4,111.0,Cell Phones & Accessories,Cell Phones,Samsung,2119.0,,https://m.media-amazon.com/images/I/71Q2nfOzmmL._AC_SX679_.jpg
"SAMSUNG Galaxy A16 5G (SM-A166M/DS), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (25W Power Adapter Bundle) - (Light Green)",4.2,324.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,205.0,,https://m.media-amazon.com/images/I/61lLuNuti0L._AC_SX679_.jpg
"Google Pixel 7 5G, US Version, 128GB, Obsidian - Unlocked (Renewed)",4.0,1642.0,Cell Phones & Accessories,Cell Phones,Google,349.0,,https://m.media-amazon.com/images/I/61GaroZ9M6L._AC_SX679_.jpg
"Motorola Moto G 5G 2024 (128GB, 4GB) 6.6"", 50MP Dual Camera, Android 14, XT2417 (Unlocked, Sage Green) (Renewed)",4.1,349.0,Cell Phones & Accessories,Cell Phones,Motorola,115.0,,https://m.media-amazon.com/images/I/51iFMfKzTvL._AC_SX679_.jpg
"Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3"" Actua Display - Obsidian - 128 GB",4.5,802.0,Cell Phones & Accessories,Cell Phones,Google,798.0,,https://m.media-amazon.com/images/I/61fh21u3DJL._AC_SX679_.jpg
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Silver,4.4,277.0,Cell Phones & Accessories,Cell Phones,Samsung,107.0,,https://m.media-amazon.com/images/I/717LoicbArL._AC_SX522_.jpg
"SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, Global Version, 2024 - Titanium Black",4.2,133.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,819.0,,https://m.media-amazon.com/images/I/51WdmHmubDL._AC_SX679_.jpg
"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",3.9,10120.0,Cell Phones & Accessories,Cell Phones,Samsung,219.0,,https://m.media-amazon.com/images/I/51yxI5nkPWL._AC_SX679_.jpg
"Samsung Galaxy A36 5G A Series Cell Phone, 256GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, US Version, 2025, US 1 Yr Manufacturer Warranty, Awesome Lavender",4.4,340.0,Cell Phones & Accessories,Cell Phones,Samsung,449.0,-0.05,https://m.media-amazon.com/images/I/612jJWCgFcL._AC_SX679_.jpg
"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Peony - 128 GB",4.4,425.0,Cell Phones & Accessories,Cell Phones,Google,199.0,,https://m.media-amazon.com/images/I/61IgWXs5BRL._AC_SX679_.jpg
"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7"" Dual SIM GSM Unlocked Global 4G LTE A055M/DS (Silver)",4.1,773.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,113.0,,https://m.media-amazon.com/images/I/61r6nWLIxYL._AC_SX679_.jpg
"OUKITEL C61 Unlocked Cell Phone 2025- Android 15, 6.88"" Display Smartphone, 16GB+128GB/1TB, 5150mAh Battery Phone, 13MP Camera, 4G Dual Sim Mobile Phones, Fingerprint/Face Unlock/GPS/BT5.0, Black",4.5,129.0,Cell Phones & Accessories,Cell Phones,OUKITEL,109.0,-0.15,https://m.media-amazon.com/images/I/71O2WuiBbCL._AC_SX679_.jpg
TCL 50 LE - (Verizon) Smartphone - Dark Gray - 64gb (Renewed),3.0,10.0,Cell Phones & Accessories,Cell Phones,TCL,89.0,,https://m.media-amazon.com/images/I/61wm9DNE7LL._AC_SX679_.jpg
"Samsung Galaxy A20 32GB 6.4"" Display A205U Black Unlocked Smartphone (Renewed)",3.8,868.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,62.0,,https://m.media-amazon.com/images/I/71-t9PoTerL._AC_SX679_.jpg
Nokia G10 | Android 13 | Unlocked GSM Smartphone | 3-Day Battery | 3GB RAM | 64GB Storage | 6.52-Inch Screen | 13MP Triple Camera | Dusk | Not Compatible with Verizon or AT&T,3.4,121.0,Cell Phones & Accessories,Cell Phones,Nokia,69.0,,https://m.media-amazon.com/images/I/81Io90tyv1L._AC_SX679_.jpg
Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,4.2,2736.0,Cell Phones & Accessories,Cell Phones,Google,209.0,,https://m.media-amazon.com/images/I/71C0OH4WfpL._AC_SX679_.jpg
"OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",4.3,1396.0,Cell Phones & Accessories,Cell Phones,OnePlus,299.0,,https://m.media-amazon.com/images/I/610qFsdenLL._AC_SX679_.jpg
"OUKITEL G3 Rugged Smartphone Unlocked -16GB+128GB/1TB TF 6” HD Display IP68/IP69K Rugged Cell Phones, 6300mAh Battery 13MP Rear Camera Waterproof Android Phone, GPS/3.5mm Jack/4G Dual Sim/Face ID",4.5,38.0,Cell Phones & Accessories,Cell Phones,OUKITEL,169.0,,https://m.media-amazon.com/images/I/81RuzvJtvYL._AC_SX679_.jpg
BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black,3.7,510.0,Cell Phones & Accessories,Cell Phones,BLU,49.0,-0.14,https://m.media-amazon.com/images/I/81No0c60jdL._AC_SX679_.jpg
"Samsung Galaxy A14 5G A Series Cell Phone, Factory Unlocked GSM Android Smartphone, 4GB / 64GB Black (Renewed)",3.9,462.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,199.0,,https://m.media-amazon.com/images/I/71vkaWmpemL._AC_SY679_.jpg
"Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 128GB - Obsidian",4.2,3958.0,Cell Phones & Accessories,Cell Phones,Google,399.0,,https://m.media-amazon.com/images/I/615rI0PoyOL._AC_SX679_.jpg
Motorola Edge | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Midnight Blue,4.2,393.0,Cell Phones & Accessories,Cell Phones,Motorola,299.0,-0.45,https://m.media-amazon.com/images/I/61xrE9hme2L._AC_SX679_.jpg
"UMIDIGI G9T Cell Phone, Android 14 Smartphone Unlocked, 6.75"" HD+ 90Hz Display, 5000mAh Battery, 18W Fast Charging, 8(4+4)+128GB/1TB TF, 13MP Camera, AI Face & Fingerprint Unlock, 4G Dual SIM, GPS",4.0,322.0,Cell Phones & Accessories,Cell Phones,UMIDIGI,93.0,-0.15,https://m.media-amazon.com/images/I/616GSePFvrL._AC_SX679_.jpg
"SAMSUNG Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",3.9,3606.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1169.0,,https://m.media-amazon.com/images/I/71A87GtJnoL._AC_SX522_.jpg
SAMSUNG Galaxy ​S25 Ultra 5G 2025 (International Version) | GSM Unlocked (T-Mobile) | ​512GB ​Storage​ + 12GB RAM SM-S938B ​Qualcomm Snapdragon 8 Elite Android 15 Smartphone (Titanium Black),4.5,351.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1084.0,,https://m.media-amazon.com/images/I/61XFwBms9lL._AC_SX679_.jpg
"SAMSUNG Galaxy Z Flip 3 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",4.0,4744.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,338.0,,https://m.media-amazon.com/images/I/61hdrl3iMXL._AC_SX569_.jpg
SAMSUNG Galaxy S24 5G SM-S921B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Onyx Black),4.6,85.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,545.0,,https://m.media-amazon.com/images/I/31kj-vvnJSL._AC_.jpg
"UMIDIGI G9X Unlocked Cell Phone,6.75"" 90Hz Display Smart Phone,Android 14,5000mAh,Octa-Core 8(4+4)+64GB 1TB,Face ID Unlock,4G Dual SIM Phone,GPS,FM Radio,Show captions,Unlocked Android Phones",4.0,193.0,Cell Phones & Accessories,Cell Phones,UMIDIGI,79.0,-0.27,https://m.media-amazon.com/images/I/710tEu79O3L._AC_SX679_.jpg
"OUKITEL C1 Android 15 Cell Phone Unlocked 2025-16GB+128GB(TF 1TB), 6.52'' Waterdrop Screen, 5150mAh Battery Smartphone, 13MP Camera Octa Core, 4G Triple SIM, Fingerprint/3.5mm Jack/GPS,Blue",4.5,190.0,Cell Phones & Accessories,Cell Phones,OUKITEL,106.0,-0.11,https://m.media-amazon.com/images/I/81bn-K--I8L._AC_SX679_.jpg
SAMSUNG Galaxy S9+ 64GB Smartphone - Midnight Black - Carrier Unlocked (Renewed),4.1,159.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,56.0,,https://m.media-amazon.com/images/I/71iEeXihiyL._AC_SX522_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Fully Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, Graphite (Renewed)",4.1,131.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,106.0,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
Unihertz Jelly Max Unique Smartphone 5G Android 14 66W Fast Charging12GB RAM 256GB ROM 100MP Compatible with T-Mobile and Verizon only,,,Cell Phones & Accessories,Cell Phones,Unihertz,319.0,,https://m.media-amazon.com/images/I/51FxPmC-cBL._AC_SX679_.jpg
"OnePlus 13,16GB RAM + 512GB Storage, Dual-SIM,Unlocked Android Smartphone, Snapdragon 8 Elite, 80W SUPERVOOC Fast Charging & 50W AIRVOOC Charging, Advanced Hasselblad Camera, 2025, Arctic Dawn",4.5,127.0,Cell Phones & Accessories,Cell Phones,OnePlus,929.0,-0.07,https://m.media-amazon.com/images/I/81YvgN0CcdL._AC_SX679_.jpg
"OUKITEL G1 Rugged Smartphone Unlocked - 24+256GB/1TB Android 14 Rugged Cellphones, 6.52” HD Display IP68/IP69K 10600mAh Battery 48MP Rear Camera Waterproof Phone, Fingerprint/Dual Sim/NFC 2025",4.2,1137.0,Cell Phones & Accessories,Cell Phones,OUKITEL,199.0,,https://m.media-amazon.com/images/I/919aLPXSUyL._AC_SX679_.jpg
"SAMSUNG Galaxy S25 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, AI Camera, Fast Processor, Long Battery Life, 2025, Titanium Black (Renewed)",4.3,41.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,719.0,,https://m.media-amazon.com/images/I/61n0lmxP5-L._AC_SX679_.jpg
SAMSUNG Galaxy S22 5G SM-S901B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Phantom Black),4.2,330.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,259.0,,https://m.media-amazon.com/images/I/71SM3ocOODL._AC_SX679_.jpg
"KOKODI Kids Smart Phone, Touchscreen HD Dual Camera Cell Phone for Kids, Christmas Birthday Gifts Dinosaur Toddler Play Phone for Boys 3-10, Travel Toy Preschool Learning Education Toy",4.5,3005.0,Toys & Games,Pretend Phones & Smartphones,,29.0,-0.25,https://m.media-amazon.com/images/I/5161GbqTokL._AC_.jpg
"Google Pixel 6 5G, US Version, 128GB, Stormy Black - Unlocked (Renewed)",4.1,2419.0,Cell Phones & Accessories,Cell Phones,Google,129.0,,https://m.media-amazon.com/images/I/61ruKkvVIxL._AC_SX679_.jpg
