Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,4.2 out of 5 stars,"2,736 Reviews",Cell Phones & Accessories,Cell Phones,Google,209.,,Amazon,https://m.media-amazon.com/images/I/71C0OH4WfpL._AC_SX679_.jpg
"Samsung Galaxy A14 5G A Series Cell Phone, Factory Unlocked GSM Android Smartphone, 4GB / 64GB Black (Renewed)",3.9 out of 5 stars,458 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,115.,,,
"OUKITEL C1 Android 15 Cell Phone Unlocked 2025-16GB+128GB(TF 1TB), 6.52'' Waterdrop Screen, 5150mAh Battery Smartphone, 13MP Camera Octa Core, 4G Triple SIM, Fingerprint/3.5mm Jack/GPS,Blue",4.5 out of 5 stars,190 Reviews,Cell Phones & Accessories,Cell Phones,OUKITEL,106.,-11%,Amazon,https://m.media-amazon.com/images/I/81bn-K--I8L._AC_SX679_.jpg
"UMIDIGI G9T Cell Phone, Android 14 Smartphone Unlocked, 6.75"" HD+ 90Hz Display, 5000mAh Battery, 18W Fast Charging, 8(4+4)+128GB/1TB TF, 13MP Camera, AI Face & Fingerprint Unlock, 4G Dual SIM, GPS",3.9 out of 5 stars,326 Reviews,Cell Phones & Accessories,Cell Phones,UMIDIGI,93.,-15%,Amazon,https://m.media-amazon.com/images/I/616GSePFvrL._AC_SX679_.jpg
SAMSUNG Galaxy S22 128 GB Green (Renewed),3.9 out of 5 stars,917 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,119.,,,https://m.media-amazon.com/images/I/71c5rhsUkxL._AC_SX679_.jpg
"SAMSUNG Galaxy Z Flip 3 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",4.0 out of 5 stars,"4,737 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,330.,,,https://m.media-amazon.com/images/I/61hdrl3iMXL._AC_SX569_.jpg
"SAMSUNG Galaxy S24+ Plus 5G, US Version, 256GB, Marble Gray - Unlocked (Renewed)",4.3 out of 5 stars,401 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,"1,299.",,,https://m.media-amazon.com/images/I/517wd0xP59L._AC_SX679_.jpg
"OUKITEL G1 Rugged Smartphone Unlocked - 24+256GB/1TB Android 14 Rugged Cellphones, 6.52” HD Display IP68/IP69K 10600mAh Battery 48MP Rear Camera Waterproof Phone, Fingerprint/Dual Sim/NFC 2025",4.2 out of 5 stars,"1,131 Reviews",Cell Phones & Accessories,Cell Phones,OUKITEL,199.,,Amazon,https://m.media-amazon.com/images/I/919aLPXSUyL._AC_SX679_.jpg
BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black,3.7 out of 5 stars,507 Reviews,Cell Phones & Accessories,Cell Phones,BLU,49.,-14%,Amazon,https://m.media-amazon.com/images/I/81No0c60jdL._AC_SX679_.jpg
SAMSUNG Galaxy S9+ 64GB Smartphone - Midnight Black - Carrier Unlocked (Renewed),4.1 out of 5 stars,159 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,199.,,,https://m.media-amazon.com/images/I/71iEeXihiyL._AC_SX522_.jpg
"Google Pixel 6 5G, US Version, 128GB, Stormy Black - Unlocked (Renewed)",4.1 out of 5 stars,"2,417 Reviews",Cell Phones & Accessories,Cell Phones,Google,144.,-66%,,https://m.media-amazon.com/images/I/61ruKkvVIxL._AC_SX679_.jpg
"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Porcelain - 128 GB",4.3 out of 5 stars,402 Reviews,Cell Phones & Accessories,Cell Phones,Google,488.,,Amazon,https://m.media-amazon.com/images/I/61AcZxJmQOL._AC_SX679_.jpg
"OUKITEL WP56 5G Rugged Smartphone Unlocked - 36GB+512GB/2TB Android 15 Rugged Phone,16000mAh Battery, 1000-Lumen Camping Light, 6.8"" FHD+ 120Hz,108MP Camera,128dB Loud Speaker Waterproof, NFC/GPS/OTG",4.8 out of 5 stars,44 Reviews,Cell Phones & Accessories,Cell Phones,OUKITEL,399.,,Amazon,https://m.media-amazon.com/images/I/81jwpBIkWDL._AC_SX679_.jpg
OnePlus 10 Pro | 5G Android Smartphone | 8GB+128GB | U.S. Unlocked | Triple Camera co-Developed with Hasselblad | Volcanic Black,4.3 out of 5 stars,"1,678 Reviews",Cell Phones & Accessories,Cell Phones,OnePlus,649.,,,https://m.media-amazon.com/images/I/81qOD8EZTjL._AC_SX679_.jpg
SAMSUNG Galaxy S22 5G SM-S901B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Phantom Black),4.2 out of 5 stars,329 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,179.,,,https://m.media-amazon.com/images/I/71SM3ocOODL._AC_SX679_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Fully Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, Graphite (Renewed)",4.1 out of 5 stars,128 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,969.,,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
SAMSUNG Galaxy S24 5G SM-S921B/DS 128GB 8GB Dual SIM Factory Unlocked GSM Smartphone - International Version (Onyx Black),4.6 out of 5 stars,84 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,545.,,Amazon,https://m.media-amazon.com/images/I/31kj-vvnJSL._AC_.jpg
Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,4.2 out of 5 stars,"1,967 Reviews",Cell Phones & Accessories,Cell Phones,Motorola,147.,,Amazon,https://m.media-amazon.com/images/I/617-hV4-qpL._AC_SX679_.jpg
